osmid,y,x,street_count,highway,ref,junction,railway,geometry
385708,53.3888025,-6.3537148,3,,,,,POINT (-6.3537148 53.3888025)
385713,53.3858517,-6.3747207,4,traffic_signals,,,,POINT (-6.3747207 53.3858517)
385738,53.3890498,-6.3758631,3,,,,,POINT (-6.3758631 53.3890498)
385745,53.3949888,-6.3751901,3,traffic_signals,,,,POINT (-6.3751901 53.3949888)
385746,53.3896949,-6.3775641,3,motorway_junction,2,,,POINT (-6.3775641 53.3896949)
385748,53.3910838,-6.380657,3,,,,,POINT (-6.380657 53.3910838)
385751,53.3891051,-6.3804059,3,traffic_signals,,,,POINT (-6.3804059 53.3891051)
385753,53.3870144,-6.3777084,3,,,,,POINT (-6.3777084 53.3870144)
385807,53.406947,-6.3015492,3,,,,,POINT (-6.3015492 53.406947)
385847,53.4086591,-6.2777446,3,motorway_junction,4,,,POINT (-6.2777446 53.4086591)
385848,53.4095783,-6.2568899,3,,,,,POINT (-6.2568899 53.4095783)
385851,53.4103558,-6.2385597,3,motorway_junction,3,,,POINT (-6.2385597 53.4103558)
385865,53.4107791,-6.2314218,3,,,,,POINT (-6.2314218 53.4107791)
385905,53.418114,-6.2225726,3,,,,,POINT (-6.2225726 53.418114)
385909,53.4222086,-6.2203615,3,motorway_junction,2,,,POINT (-6.2203615 53.4222086)
385917,53.4226682,-6.2196601,3,,,,,POINT (-6.2196601 53.4226682)
385933,53.4278721,-6.2184164,3,,,,,POINT (-6.2184164 53.4278721)
385935,53.4278224,-6.2186174,3,traffic_signals,,,,POINT (-6.2186174 53.4278224)
385977,53.4339194,-6.2285297,3,,,,,POINT (-6.2285297 53.4339194)
385982,53.4355874,-6.2318218,3,,,,,POINT (-6.2318218 53.4355874)
385992,53.449751,-6.2252651,3,,,,,POINT (-6.2252651 53.449751)
385995,53.4499267,-6.2246695,3,,,,,POINT (-6.2246695 53.4499267)
385997,53.4500988,-6.2255113,3,,,,,POINT (-6.2255113 53.4500988)
386021,53.4563944,-6.2215079,3,,,,,POINT (-6.2215079 53.4563944)
386026,53.4547241,-6.2182099,3,,,,,POINT (-6.2182099 53.4547241)
386028,53.4543228,-6.2169183,3,,,,,POINT (-6.2169183 53.4543228)
386030,53.4542784,-6.2154522,3,,,,,POINT (-6.2154522 53.4542784)
386031,53.4540235,-6.2148409,3,,,,,POINT (-6.2148409 53.4540235)
386033,53.4537363,-6.2144222,3,,,,,POINT (-6.2144222 53.4537363)
386042,53.4592753,-6.2198284,3,traffic_signals,,,,POINT (-6.2198284 53.4592753)
386053,53.4617496,-6.2184148,3,,,,,POINT (-6.2184148 53.4617496)
386061,53.460405,-6.2125557,3,,,,,POINT (-6.2125557 53.460405)
386066,53.4652635,-6.2143293,3,,,,,POINT (-6.2143293 53.4652635)
386072,53.4653646,-6.2144886,3,,,,,POINT (-6.2144886 53.4653646)
386120,53.4718289,-6.2500082,4,traffic_signals,,,,POINT (-6.2500082 53.4718289)
386195,53.4505304,-6.1867513,3,,,,,POINT (-6.1867513 53.4505304)
386209,53.4483543,-6.1693611,3,,,,,POINT (-6.1693611 53.4483543)
386255,53.4459007,-6.1728079,3,traffic_signals,,,,POINT (-6.1728079 53.4459007)
386265,53.4507379,-6.1536218,3,,,,,POINT (-6.1536218 53.4507379)
386266,53.4473216,-6.1528893,3,,,,,POINT (-6.1528893 53.4473216)
386271,53.4402838,-6.176531,3,,,,,POINT (-6.176531 53.4402838)
386391,53.4396969,-6.2080622,3,motorway_junction,3,,,POINT (-6.2080622 53.4396969)
386509,53.3507345,-6.3856531,3,motorway_junction,7,,,POINT (-6.3856531 53.3507345)
386527,53.3209228,-6.3708005,3,,,,,POINT (-6.3708005 53.3209228)
386529,53.3239969,-6.3729656,3,motorway_junction,9,,,POINT (-6.3729656 53.3239969)
386537,53.3188183,-6.3689744,3,,,,,POINT (-6.3689744 53.3188183)
386539,53.3176743,-6.3698624,3,,,,,POINT (-6.3698624 53.3176743)
386549,53.3113125,-6.3994413,3,,,,,POINT (-6.3994413 53.3113125)
386559,53.2946278,-6.4277612,3,motorway_junction,3,,,POINT (-6.4277612 53.2946278)
386562,53.3009117,-6.4209863,3,,,,,POINT (-6.4209863 53.3009117)
386564,53.2920828,-6.4334001,3,,,,,POINT (-6.4334001 53.2920828)
386567,53.2871639,-6.4517713,3,motorway_junction,4,,,POINT (-6.4517713 53.2871639)
388707,53.2961998,-6.3340552,3,motorway_junction,11,,,POINT (-6.3340552 53.2961998)
389054,53.2809921,-6.3252417,3,motorway_junction,12,,,POINT (-6.3252417 53.2809921)
389060,53.2757572,-6.3171449,3,,,,,POINT (-6.3171449 53.2757572)
389142,53.2785431,-6.1850415,4,traffic_signals,,,,POINT (-6.1850415 53.2785431)
389146,53.2872701,-6.1760892,4,traffic_signals,,,,POINT (-6.1760892 53.2872701)
389279,53.3453413,-6.2676306,3,,,,,POINT (-6.2676306 53.3453413)
389281,53.3395894,-6.2658639,4,,,,,POINT (-6.2658639 53.3395894)
389292,53.3482797,-6.2549447,4,,J41,yes,,POINT (-6.2549447 53.3482797)
389302,53.3401961,-6.2722556,3,,,,,POINT (-6.2722556 53.3401961)
389303,53.3393653,-6.2725703,3,,,,,POINT (-6.2725703 53.3393653)
389304,53.3389329,-6.2726872,4,,J17,yes,,POINT (-6.2726872 53.3389329)
389309,53.3419272,-6.2503406,3,,,,,POINT (-6.2503406 53.3419272)
389314,53.3459015,-6.2573464,4,,,,,POINT (-6.2573464 53.3459015)
389332,53.3442515,-6.2623822,3,,,,,POINT (-6.2623822 53.3442515)
389339,53.3394661,-6.25867,3,traffic_signals,,,,POINT (-6.25867 53.3394661)
389356,53.3410618,-6.2700802,3,,,,,POINT (-6.2700802 53.3410618)
389357,53.3405743,-6.2700444,4,,J18,yes,,POINT (-6.2700444 53.3405743)
389358,53.3407149,-6.2682261,3,,,,,POINT (-6.2682261 53.3407149)
389364,53.3535061,-6.2654339,3,,J35,yes,,POINT (-6.2654339 53.3535061)
389365,53.354535,-6.2635331,3,,,,,POINT (-6.2635331 53.354535)
389372,53.3547015,-6.2466905,4,,J76,yes,,POINT (-6.2466905 53.3547015)
389379,53.3517832,-6.2497881,3,,,,,POINT (-6.2497881 53.3517832)
389462,53.3754956,-6.218782,5,traffic_signals,,,,POINT (-6.218782 53.3754956)
389491,53.3674803,-6.2277239,3,,,,,POINT (-6.2277239 53.3674803)
389501,53.3629931,-6.2359122,3,,,,,POINT (-6.2359122 53.3629931)
389503,53.3606157,-6.2390322,4,,,,,POINT (-6.2390322 53.3606157)
389607,53.3460737,-6.2774435,3,,,,,POINT (-6.2774435 53.3460737)
389620,53.3434892,-6.2848565,3,traffic_signals,,,,POINT (-6.2848565 53.3434892)
389629,53.3474581,-6.2904809,3,,,,,POINT (-6.2904809 53.3474581)
389632,53.3457913,-6.2961658,4,traffic_signals,,,,POINT (-6.2961658 53.3457913)
389643,53.3481856,-6.2964888,3,,,,,POINT (-6.2964888 53.3481856)
389663,53.3383958,-6.2660887,3,,,,,POINT (-6.2660887 53.3383958)
389666,53.3376182,-6.2657909,5,traffic_signals,J16,yes,,POINT (-6.2657909 53.3376182)
389667,53.3354833,-6.2652056,3,,,,,POINT (-6.2652056 53.3354833)
389676,53.3325969,-6.2648597,4,,,yes,,POINT (-6.2648597 53.3325969)
389677,53.3311096,-6.2645251,3,,,,,POINT (-6.2645251 53.3311096)
389678,53.3302312,-6.2642964,4,,,,,POINT (-6.2642964 53.3302312)
389679,53.3270991,-6.2647939,3,,,,,POINT (-6.2647939 53.3270991)
389680,53.3327098,-6.2634933,3,,,,,POINT (-6.2634933 53.3327098)
389681,53.3338127,-6.2631819,3,,,,,POINT (-6.2631819 53.3338127)
389685,53.333871,-6.2651742,3,,,,,POINT (-6.2651742 53.333871)
389701,53.3311416,-6.2514286,3,,,,,POINT (-6.2514286 53.3311416)
389703,53.3292805,-6.2483739,4,,,,,POINT (-6.2483739 53.3292805)
389707,53.3257297,-6.2419311,3,,,,,POINT (-6.2419311 53.3257297)
389708,53.3249213,-6.2407891,4,traffic_signals,,,,POINT (-6.2407891 53.3249213)
389710,53.3221543,-6.2367992,3,,,,,POINT (-6.2367992 53.3221543)
389711,53.3214747,-6.2351607,3,,,,,POINT (-6.2351607 53.3214747)
389713,53.3137653,-6.2227648,4,,,,,POINT (-6.2227648 53.3137653)
389719,53.3070488,-6.2134124,3,,,,,POINT (-6.2134124 53.3070488)
595414,53.472673,-6.2030211,3,motorway_junction,4,,,POINT (-6.2030211 53.472673)
595426,53.4739354,-6.2029982,3,,,,,POINT (-6.2029982 53.4739354)
595433,53.4824102,-6.2069049,3,,,,,POINT (-6.2069049 53.4824102)
595436,53.4821575,-6.2064959,3,motorway_junction,4,,,POINT (-6.2064959 53.4821575)
595596,53.5427518,-6.2140588,3,,,,,POINT (-6.2140588 53.5427518)
595612,53.5573157,-6.2150526,3,,,,,POINT (-6.2150526 53.5573157)
595613,53.5563631,-6.2155992,3,motorway_junction,5,,,POINT (-6.2155992 53.5563631)
595616,53.5702229,-6.2122782,3,,,,,POINT (-6.2122782 53.5702229)
595637,53.5933555,-6.2154739,3,,,,,POINT (-6.2154739 53.5933555)
595638,53.6028606,-6.2265747,3,,,,,POINT (-6.2265747 53.6028606)
595640,53.5927773,-6.2154642,3,motorway_junction,6,,,POINT (-6.2154642 53.5927773)
595729,53.6309845,-6.2501323,3,motorway_junction,7,,,POINT (-6.2501323 53.6309845)
595730,53.6325726,-6.2503326,3,,,,,POINT (-6.2503326 53.6325726)
597481,53.4383885,-6.208415,3,,,,,POINT (-6.208415 53.4383885)
597486,53.4274466,-6.2161036,3,traffic_signals,,,,POINT (-6.2161036 53.4274466)
597487,53.4284637,-6.2290871,3,,,,,POINT (-6.2290871 53.4284637)
657346,53.3569245,-6.2905375,3,,,,,POINT (-6.2905375 53.3569245)
657350,53.3586753,-6.282432,3,,,,,POINT (-6.282432 53.3586753)
657351,53.3591832,-6.2806204,3,,,,,POINT (-6.2806204 53.3591832)
657357,53.3224815,-6.2656764,3,,,,,POINT (-6.2656764 53.3224815)
657358,53.3227238,-6.2638667,3,,,,,POINT (-6.2638667 53.3227238)
657360,53.3234704,-6.2603321,4,traffic_signals,,,,POINT (-6.2603321 53.3234704)
658429,53.3361445,-6.2572592,4,,J14,yes,,POINT (-6.2572592 53.3361445)
658435,53.3291639,-6.2590593,3,,,,,POINT (-6.2590593 53.3291639)
658436,53.3285,-6.2586855,3,,,,,POINT (-6.2586855 53.3285)
658463,53.3263304,-6.2504686,4,traffic_signals,,,,POINT (-6.2504686 53.3263304)
658464,53.3344008,-6.2552554,4,traffic_signals,,,,POINT (-6.2552554 53.3344008)
658472,53.3367812,-6.24915,4,traffic_signals,,,,POINT (-6.24915 53.3367812)
658476,53.3251335,-6.207114,3,mini_roundabout,,,,POINT (-6.207114 53.3251335)
658495,53.3282313,-6.2107644,3,,,,,POINT (-6.2107644 53.3282313)
658542,53.3345367,-6.2144905,3,,,,,POINT (-6.2144905 53.3345367)
658547,53.3336719,-6.214293,3,,,,,POINT (-6.214293 53.3336719)
658551,53.3331335,-6.2147291,3,,,,,POINT (-6.2147291 53.3331335)
658558,53.3333167,-6.2142076,3,,,,,POINT (-6.2142076 53.3333167)
658560,53.3330463,-6.2148546,3,,,,,POINT (-6.2148546 53.3330463)
658570,53.3339619,-6.2176005,3,,,,,POINT (-6.2176005 53.3339619)
658571,53.3344808,-6.2183222,3,,,,,POINT (-6.2183222 53.3344808)
658579,53.3314279,-6.2158222,3,,,,,POINT (-6.2158222 53.3314279)
658583,53.3320992,-6.2157572,3,,,,,POINT (-6.2157572 53.3320992)
658607,53.327875,-6.2206554,3,,,,,POINT (-6.2206554 53.327875)
658610,53.3270249,-6.2227135,3,,,,,POINT (-6.2227135 53.3270249)
658718,53.3666659,-6.0670149,3,,,,,POINT (-6.0670149 53.3666659)
658721,53.3662491,-6.0646979,3,,,,,POINT (-6.0646979 53.3662491)
658788,53.373237,-6.0944151,3,,,,,POINT (-6.0944151 53.373237)
658793,53.3740736,-6.0944554,3,,,,,POINT (-6.0944554 53.3740736)
658800,53.3733123,-6.0958331,3,,,,,POINT (-6.0958331 53.3733123)
658857,53.3766187,-6.0978506,3,,,,,POINT (-6.0978506 53.3766187)
658861,53.3775381,-6.1000242,3,,,,,POINT (-6.1000242 53.3775381)
658915,53.3807136,-6.0948601,3,,,,,POINT (-6.0948601 53.3807136)
658917,53.3819271,-6.0972815,3,,,,,POINT (-6.0972815 53.3819271)
658918,53.3826193,-6.0985815,3,,,,,POINT (-6.0985815 53.3826193)
658924,53.3851918,-6.1010586,3,,,,,POINT (-6.1010586 53.3851918)
658926,53.384494,-6.100441,3,,,,,POINT (-6.100441 53.384494)
659121,53.3883203,-6.0646935,3,,,,,POINT (-6.0646935 53.3883203)
659127,53.3863582,-6.0655604,3,,,,,POINT (-6.0655604 53.3863582)
659595,53.3723631,-6.0592108,3,,,,,POINT (-6.0592108 53.3723631)
659686,53.3607759,-6.2751154,3,,J71,yes,,POINT (-6.2751154 53.3607759)
659687,53.3607926,-6.2726879,4,traffic_signals,J72,yes,,POINT (-6.2726879 53.3607926)
659695,53.3567651,-6.2679345,4,,,,,POINT (-6.2679345 53.3567651)
659696,53.3547524,-6.2687959,4,,,,,POINT (-6.2687959 53.3547524)
659698,53.366129,-6.255746,3,,,,,POINT (-6.255746 53.366129)
659706,53.3605706,-6.2696718,3,traffic_signals,,,,POINT (-6.2696718 53.3605706)
659707,53.3593332,-6.2697895,3,,,,,POINT (-6.2697895 53.3593332)
659715,53.3655453,-6.271658,3,,,yes,,POINT (-6.271658 53.3655453)
659745,53.3542147,-6.2669211,4,traffic_signals,,,,POINT (-6.2669211 53.3542147)
659747,53.3531004,-6.2618361,3,,,,,POINT (-6.2618361 53.3531004)
659782,53.3497856,-6.2685781,1,,,,,POINT (-6.2685781 53.3497856)
659784,53.3460812,-6.2678881,4,,,,,POINT (-6.2678881 53.3460812)
659788,53.347914,-6.2636112,3,,,,,POINT (-6.2636112 53.347914)
659795,53.3453301,-6.2591324,3,,,,,POINT (-6.2591324 53.3453301)
659799,53.3411673,-6.2507508,4,,J8,yes,,POINT (-6.2507508 53.3411673)
659802,53.3397594,-6.2520462,3,,J10,yes,,POINT (-6.2520462 53.3397594)
659803,53.3395938,-6.2463552,3,,,,,POINT (-6.2463552 53.3395938)
659804,53.3382323,-6.2476993,4,traffic_signals,J11,yes,,POINT (-6.2476993 53.3382323)
659805,53.3381471,-6.2536281,4,,J47,yes,,POINT (-6.2536281 53.3381471)
659807,53.3380021,-6.2558594,3,,,,,POINT (-6.2558594 53.3380021)
659809,53.3389601,-6.2565233,3,,,,,POINT (-6.2565233 53.3389601)
659815,53.3507411,-6.2544091,4,,,,,POINT (-6.2544091 53.3507411)
659821,53.3457851,-6.2521162,4,,J4,yes,,POINT (-6.2521162 53.3457851)
659822,53.3460676,-6.2481432,4,,,,,POINT (-6.2481432 53.3460676)
661197,53.3792264,-6.1027548,3,,,,,POINT (-6.1027548 53.3792264)
661199,53.3778545,-6.102041,3,,,,,POINT (-6.102041 53.3778545)
661251,53.3727833,-6.0588164,3,,,,,POINT (-6.0588164 53.3727833)
661253,53.3770894,-6.0555463,3,,,,,POINT (-6.0555463 53.3770894)
661254,53.3778526,-6.0563117,3,,,,,POINT (-6.0563117 53.3778526)
661258,53.3847911,-6.1430295,3,,,,,POINT (-6.1430295 53.3847911)
